,Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles
603,"2,2',3,3',4,4',5,5',6,6'-PCB",-9.589,1,498.6620000000002,0,2,1,0.0,-11.6,ClC1:C(Cl):C(Cl):C(C2:C(Cl):C(Cl):C(Cl):C(Cl):C:2Cl):C(Cl):C:1Cl
604,Methoxsalen,-3.25,1,216.19199999999995,0,3,1,52.58,-3.664,COC1:C2:O:C:C:C:2:C:C2:C:C:C(=O):O:C:1:2
605,Acetamide,0.494,1,59.068000000000005,1,0,0,43.09,1.58,CC(N)=O
606,1-Methylnaphthalene,-3.802,1,142.201,0,2,0,0.0,-3.7,CC1:C:C:C:C2:C:C:C:C:C:1:2
607,Napropamide,-4.088,1,271.36,0,2,5,29.540000000000006,-3.57,CCN(CC)C(=O)C(C)OC1:C:C:C:C2:C:C:C:C:C:1:2
608,"3,3-Dimethyl-2-butanol",-1.2919999999999998,1,102.177,1,0,0,20.23,-0.62,CC(O)C(C)(C)C
609,Methyl pentanoate,-1.545,1,116.15999999999998,0,0,3,26.3,-1.36,CCCC(=O)OCC
610,Menadione,-2.667,1,172.18299999999996,0,2,0,34.14,-3.03,CC1=CC(=O)C2:C:C:C:C:C:2C1=O
611,Phenanthrene,-4.518,2,178.23399999999995,0,3,0,0.0,-5.26,C1:C:C:C2:C(:C:1):C:C:C1:C:C:C:C:C:1:2
612,"2,4-Dimethylpyridine",-2.0980000000000003,1,107.156,0,1,0,12.89,0.38,CC1:C:C:N:C(C):C:1
613,1-Nonanol,-2.46,1,144.25799999999998,1,0,7,20.23,-3.01,CCCCCCCCCO
614,Dibromomethane,-1.883,1,173.83499999999995,0,0,0,0.0,-1.17,BrCBr
615,Dexamethasone,-3.4,1,392.46700000000016,3,4,2,94.83,-3.59,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
616,"2,6-Dimethylnaphthalene ",-4.147,1,156.22799999999998,0,2,0,0.0,-4.89,CC1:C:C:C2:C:C(C):C:C:C:2:C:1
617,Butylate,-3.4530000000000003,1,217.378,0,0,5,20.31,-3.68,CCSC(=O)N(CC(C)C)CC(C)C
618,nitroglycerin,-2.029,1,227.085,0,0,8,157.11,-2.22,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]
619,m-Nitroaniline,-1.936,1,138.126,1,1,1,69.16,-2.19,NC1:C:C:C:C([N+](=O)[O-]):C:1
620,1-Chlorobutane,-1.94,1,92.569,0,0,2,0.0,-2.03,CCCCCl
621,triforine,-3.715,1,430.93400000000014,2,1,6,64.68,-4.19,O=CNC(N1C=CN(C(NC=O)C(Cl)(Cl)Cl)C=C1)C(Cl)(Cl)Cl
622,Fluridone,-4.249,1,329.321,0,3,2,22.0,-4.445,CN1:C:C(C2:C:C:C:C:C:2):C(=O):C(C2:C:C:C:C(C(F)(F)F):C:2):C:1
623,6-aminochrysene,-4.849,1,243.30900000000003,1,4,0,26.02,-6.2,NC1:C:C2:C3:C:C:C:C:C:3:C:C:C:2:C2:C:C:C:C:C:1:2
624,Estrone,-3.872,1,270.372,1,4,0,37.3,-3.955,CC12CCC3C4:C:C:C(O):C:C:4CCC3C1CCC2=O
625,RTI 17,-4.227,1,269.373,0,3,1,19.37,-4.706,CCN1C2:C:C:C:C:C:2N(C)C(=S)C2:C:C:C:N:C:21
626,"1,2-Propylene oxide",-0.358,1,58.08,0,1,0,12.53,-0.59,CC1CO1
627,Nitrazepam,-3.4730000000000003,1,281.27099999999996,1,3,2,84.6,-3.796,O=C1CN=C(C2:C:C:C:C:C:2)C2:C:C([N+](=O)[O-]):C:C:C:2N1
628,"1,3-diethylthiourea",-1.028,1,132.232,2,0,2,24.06,-1.46,CCNC(=S)NCC
629,"2,3,5-Trichlorophenol",-3.78,1,197.448,1,1,0,20.23,-2.67,OC1:C:C(Cl):C:C(Cl):C:1Cl
630,Propyl propanoate,-1.545,1,116.15999999999998,0,0,3,26.3,-1.34,CCCCC(=O)OC
631,Aniline ,-1.632,1,93.129,1,1,0,26.02,-0.41,NC1:C:C:C:C:C:1
632,"1,5-Dimethlnapthalene",-4.147,1,156.22799999999998,0,2,0,0.0,-4.6789999999999985,CC1:C:C:C:C2:C(C):C:C:C:C:1:2
633,hydrochlorothiazide,-1.72,1,297.745,3,2,1,118.36,-2.63,NS(=O)(=O)C1:C:C2:C(:C:C:1Cl)NCNS2(=O)=O
634,Acenapthylene,-3.682,2,152.19599999999994,0,3,0,0.0,-3.96,C1=CC2:C:C:C:C3:C:C:C:C1:C:2:3
635,Ethyl butyrate,-2.254,1,144.21399999999997,0,0,5,26.3,-1.28,CCCCCOC(=O)CC
636,Atratone,-3.185,1,211.269,2,1,5,71.96000000000002,-2.084,CCNC1:N:C(NC(C)C):N:C(OC):N:1
637,Benzo(a)pyrene,-6.0070000000000014,2,252.316,0,5,0,0.0,-8.699,C1:C:C:C2:C(:C:1):C:C1:C:C:C3:C:C:C:C4:C:C:C:2:C:1:C:3:4
638,Bromoethane,-1.529,1,108.96600000000001,0,0,0,0.0,-1.09,CCBr
639,3-Hexyne,-1.933,1,82.14599999999999,0,0,0,0.0,-1.99,CCC#CCC
640,Digitoxin,-6.114,1,764.9499999999998,5,8,7,182.83,-5.292999999999998,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O
641,2-Methyl-1-Butene,-1.994,1,70.13499999999999,0,0,1,0.0,-2.73,C=C(C)CC
642,8-quinolinol,-2.725,1,145.16099999999997,1,2,0,33.120000000000005,-2.42,OC1:C:C:C:C2:C:C:C:N:C:1:2
643,"1,2,3,4-Tetrahydronapthalene",-3.447,2,132.20599999999996,0,2,0,0.0,-4.37,C1:C:C:C2:C(:C:1)CCCC2
644,phenolphthalein,-4.59,1,318.3280000000001,2,4,2,66.76,-2.9,O=C1OC(C2:C:C:C(O):C:C:2)(C2:C:C:C(O):C:C:2)C2:C:C:C:C:C:21
645,"1,3,5-Tribromobenzene",-5.27,1,314.802,0,1,0,0.0,-5.6,BrC1:C:C(Br):C:C(Br):C:1
646,Ronnel,-5.247000000000001,1,321.54900000000004,0,1,4,27.69,-5.72,COP(=S)(OC)OC1:C:C(Cl):C(Cl):C:C:1Cl
647,methylthiouracil,-0.547,1,142.18300000000005,2,1,0,48.65,-2.436,CC1:C:C(=O):[NH]:C(=S):[NH]:1
648,Eugenol,-2.675,1,164.204,1,1,3,29.46,-1.56,C=CCC1:C:C:C(O):C(OC):C:1
649,5-Allyl-5-isopropylbarbital,-1.706,1,210.233,2,1,3,75.27000000000002,-1.7080000000000002,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O
650,Pyrene,-4.957,2,202.256,0,4,0,0.0,-6.176,C1:C:C2:C:C:C3:C:C:C:C4:C:C:C(:C:1):C:2:C:3:4
651,"1,1-Diethoxyethane ",-0.899,1,118.176,0,0,4,18.46,-0.43,CCOC(C)OCC
652,Clomazone,-3.077,1,239.702,0,2,2,29.54,-2.338,CC1(C)CON(CC2:C:C:C:C:C:2Cl)C1=O
653,2-Butoxyethanol,-0.775,1,118.176,1,0,5,29.46,-0.42,CCCCOCCO
654,Quintozene,-5.098,1,295.336,0,1,1,43.14,-5.82,O=[N+]([O-])C1:C(Cl):C(Cl):C(Cl):C(Cl):C:1Cl
655,Androsterone,-3.882,1,290.447,1,4,0,37.3,-4.402,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O
656,Flurochloridone,-4.749,1,312.118,0,2,2,20.31,-4.047,O=C1C(Cl)C(CCl)CN1C1:C:C:C:C(C(F)(F)F):C:1
657,Quinoline,-2.6630000000000003,2,129.16199999999998,0,2,0,12.89,-1.3,C1:C:C:C2:N:C:C:C:C:2:C:1
658,methyl gallate,-1.913,1,184.14700000000002,3,1,1,86.99000000000002,-1.24,COC(=O)C1:C:C(O):C(O):C(O):C:1
659,fluconazole,-2.418,1,306.276,1,3,5,81.64999999999998,-1.8,OC(CN1:C:N:C:N:1)(CN1:C:N:C:N:1)C1:C:C:C(F):C:C:1F
660,Chlorzoxazone,-2.679,1,169.567,1,2,0,46.0,-2.8310000000000004,O=C1:[NH]:C2:C:C(Cl):C:C:C:2:O:1
661,"2,2',3,4,4',5',6-PCB",-7.898,1,395.32700000000017,0,2,1,0.0,-7.92,ClC1:C:C:C(C2:C(Cl):C(Cl):C(Cl):C(Cl):C:2Cl):C(Cl):C:1
662,alloxan,0.436,1,142.07,2,1,0,92.34,-1.25,O=C1NC(=O)C(=O)C(=O)N1
663,"1,3-Dichloropropane",-1.618,1,112.987,0,0,2,0.0,-1.62,ClCCCCl
664,m-Fluorobromobenzene,-3.467,1,175.0,0,1,0,0.0,-2.67,FC1:C:C:C:C(Br):C:1
665,p-Chlorobromobenzene,-3.928,1,191.455,0,1,0,0.0,-3.63,ClC1:C:C:C(Br):C:C:1
666,"2,3-Dimethylbutane",-2.584,1,86.178,0,0,1,0.0,-3.65,CC(C)C(C)C
667,1-Butene,-1.655,1,56.108000000000004,0,0,1,0.0,-1.94,C=CCC
668,"2,2',3,4,5,5'-PCB",-7.343,1,360.88200000000006,0,2,1,0.0,-7.68,ClC1:C:C:C(Cl):C(C2:C:C(Cl):C(Cl):C(Cl):C:2Cl):C:1
669,cytosine,0.051,1,111.104,2,1,0,71.77000000000002,-1.155,NC1:C:C:[NH]:C(=O):N:1
670,"1,1,2-Trichlorotrifluoroethane",-3.077,1,187.37500000000003,0,0,1,0.0,-3.04,FC(F)(Cl)C(F)(Cl)Cl
671,Propionitrile,-0.269,1,55.07999999999999,0,0,0,23.79,0.28,CCC#N
672,"O,P'-DDD",-6.007999999999999,1,320.04600000000005,0,2,3,0.0,-6.51,ClC1:C:C:C(C(C2:C:C:C:C:C:2Cl)C(Cl)Cl):C:C:1
673,o-Nitroanisole,-2.346,1,153.13699999999997,0,1,2,52.37,-1.96,COC1:C:C:C:C:C:1[N+](=O)[O-]
674,Prasterone,-3.564,1,288.4310000000001,1,4,0,37.3,-4.12,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O
675,Procymidone,-3.464,1,284.142,0,3,1,37.38,-4.8,CC12CC1(C)C(=O)N(C1:C:C(Cl):C:C(Cl):C:1)C2=O
676,Benzo[ghi]perylene,-6.4460000000000015,2,276.33799999999997,0,6,0,0.0,-9.018,C1:C:C2:C:C:C3:C:C:C4:C:C:C5:C:C:C:C6:C(:C:1):C:2:C:3:C:4:C:5:6
677,Dinoseb,-3.715,1,240.21499999999997,1,1,4,106.51000000000002,-3.38,CCC(C)C1:C:C([N+](=O)[O-]):C:C([N+](=O)[O-]):C:1O
678,meconin,-0.825,1,196.202,0,2,2,44.76000000000001,-1.899,COC1=C(OC)C2C(=O)OCC2C=C1
679,Glycerol,0.688,1,92.094,3,0,2,60.69,1.12,OCC(O)CO
680,Guaiacol,-1.941,1,124.13899999999997,1,1,1,29.46,-1.96,COC1:C:C:C:C:C:1O
681,chlorpyrifos,-4.972,1,350.591,0,1,6,40.58,-5.67,CCOP(=S)(OCC)OC1:N:C(Cl):C(Cl):C:C:1Cl
682,9-Methylanthracene,-4.87,1,192.261,0,3,0,0.0,-5.89,CC1:C2:C:C:C:C:C:2:C:C2:C:C:C:C:C:1:2
683,Antipyrene,-1.733,1,188.23,0,2,1,26.93,0.715,CC1:C:C(=O):N(C2:C:C:C:C:C:2):N:1C
684,Methyl butyl ether ,-1.072,1,88.14999999999998,0,0,3,9.23,-0.99,CCCCOC
685,7-methylpteridine,-1.24,1,146.153,0,2,0,51.56,-0.8540000000000001,CC1:C:N:C2:C:N:C:N:C:2:N:1
686,simazine,-2.8110000000000004,1,201.66099999999997,2,1,4,62.73,-4.55,CCNC1:N:C(Cl):N:C(NCC):N:1
687,"N,N-Dimethylacetamide",0.123,1,87.12199999999999,0,0,0,20.31,1.11,CC(=O)N(C)C
688,Simetryn,-2.689,1,213.31,0,1,3,45.15000000000001,-2.676,CSC1:N:C(N(C)C):N:C(N(C)C):N:1
689,Ethylene,-0.815,1,28.053999999999995,0,0,0,0.0,-0.4,C=C
690,"3,3-Dimethyl-1-butanol",-1.365,1,102.177,1,0,1,20.23,-0.5,CC(C)(C)CCO
691,5-Allyl-5-ethylbarbital,-1.368,1,196.206,2,1,3,75.27000000000002,-1.614,C=CCC1(CC)C(=O)NC(=O)NC1=O
692,"2,3,4-Trichlorophenol",-3.705,1,197.44799999999998,1,1,0,20.23,-2.67,OC1:C:C:C(Cl):C(Cl):C:1Cl
693,Anisole,-2.3680000000000003,1,108.13999999999996,0,1,1,9.23,-1.85,COC1:C:C:C:C:C:1
694,chloropropylate,-5.093,1,339.21800000000013,1,2,4,46.53,-4.53,CC(C)OC(=O)C(O)(C1:C:C:C(Cl):C:C:1)C1:C:C:C:C(Cl):C:1
695,aldosterone,-3.0660000000000003,1,360.4500000000001,2,4,3,91.67000000000002,-3.85,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C=O)C(C(=O)CO)CCC12
696,Difenoxuron,-3.928,1,286.33099999999996,1,2,4,50.8,-4.16,COC1:C:C:C(OC2:C:C:C(NC(=O)N(C)C):C:C:2):C:C:1
697,4-Ethyltoluene,-3.3280000000000003,1,120.19499999999996,0,1,1,0.0,-3.11,CCC1:C:C:C(C):C:C:1
698,Diisopropylsulfide,-2.162,1,118.245,0,0,2,0.0,-2.24,CC(C)SC(C)C
699,"1,3-Dinitrobenzene",-2.281,1,168.10799999999998,0,1,2,86.28,-2.29,O=[N+]([O-])C1:C:C:C:C([N+](=O)[O-]):C:1
700,Ethion,-5.471,1,384.48700000000014,0,0,12,36.92,-5.54,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC
701,probarbital,-1.6030000000000002,1,198.222,2,1,2,75.27000000000002,-2.21,CCC1(C(C)C)C(=O)NC(=O)NC1=O
702,cortisone acetate,-3.426,1,402.48700000000025,1,4,3,97.74,-4.21,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C
703,Metronidazole,-0.8590000000000001,1,171.15599999999995,1,1,3,81.19,-1.22,CC1:N:C:C([N+](=O)[O-]):N:1CCO
704,p-Chloroaniline,-2.392,1,127.574,1,1,0,26.02,-1.66,NC1:C:C:C(Cl):C:C:1
705,"2,2-Dimethylpentanol",-1.719,1,116.20399999999998,1,0,3,20.23,-1.52,CCCC(C)(C)CO
706,Furane,-1.837,2,68.07499999999999,0,1,0,13.14,-0.82,C1:C:C:O:C:1
707,Methoproptryne,-3.259,1,271.39,2,1,8,71.96000000000002,-2.928,COCCCNC1:N:C(NC(C)C):N:C(SC):N:1
708,Norea,-2.47,1,222.33199999999997,1,3,1,32.34,-3.1710000000000003,CN(C)C(=O)NC1CC2CC1C1CCCC21
709,t-Butylbenzene ,-3.554,1,134.22199999999998,0,1,0,0.0,-3.66,CC(C)(C)C1:C:C:C:C:C:1
710,kebuzone,-2.645,1,322.3640000000001,0,3,5,57.69000000000001,-3.27,CC(=O)CCC1C(=O)N(C2:C:C:C:C:C:2)N(C2:C:C:C:C:C:2)C1=O
711,prednisolone acetate,-3.507,1,402.48700000000014,2,4,3,100.90000000000002,-4.37,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C
712,Methyl propyl ether ,-0.718,1,74.12299999999998,0,0,2,9.23,-0.39,CCCOC
713,Isopropyl acetate,-1.1909999999999998,1,102.133,0,0,1,26.3,-0.55,CC(=O)OC(C)C
714,Bromobenzene,-3.345,1,157.01,0,1,0,0.0,-2.55,BrC1:C:C:C:C:C:1
715,Ethyl-p-hydroxybenzoate ,-2.761,1,166.176,1,1,2,46.53,-2.35,CCOC(=O)C1:C:C:C(O):C:C:1
716,3-Butanoyloxymethylphenytoin,-3.469,1,352.3900000000001,1,3,6,75.71,-5.0710000000000015,CCCC(=O)OCN1C(=O)NC(C2:C:C:C:C:C:2)(C2:C:C:C:C:C:2)C1=O
717,testosterone propionate,-4.87,1,344.4950000000002,0,4,2,43.37000000000001,-5.37,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
718,Coronene,-6.885,2,300.36000000000007,0,7,0,0.0,-9.332,C1:C:C2:C:C:C3:C:C:C4:C:C:C5:C:C:C6:C:C:C:1:C1:C:2:C:3:C:4:C:5:C:6:1
719,allopurinol,-0.84,1,136.114,2,2,0,74.43,-2.266,O=C1:[NH]:C:N:C2:[NH]:N:C:C:1:2
720,Chloroethylene,-1.188,1,62.498999999999995,0,0,0,0.0,-1.75,C=CCl
721,diphenamid,-3.147,1,239.31799999999998,0,2,3,20.31,-2.98,CN(C)C(=O)C(C1:C:C:C:C:C:1)C1:C:C:C:C:C:1
722,Tetrabromomethane,-4.063,1,331.6269999999999,0,0,0,0.0,-3.14,BrC(Br)(Br)Br
723,RTI 22,-4.408,1,296.374,1,3,2,48.47,-4.871,CCN1C2:C:C(N(C)C):C:C(C):C:2NC(=O)C2:C:C:C:N:C:21
724,phthalimide,-1.882,1,147.13299999999995,1,2,0,46.17,-2.61,O=C1NC(=O)C2:C:C:C:C:C:21
725,Fenarimol,-4.1080000000000005,1,331.202,1,3,3,46.01000000000001,-4.38,OC(C1:C:C:C(Cl):C:C:1)(C1:C:N:C:N:C:1)C1:C:C:C:C:C:1Cl
726,Methyl benzoate ,-2.462,1,136.14999999999998,0,1,1,26.3,-1.85,COC(=O)C1:C:C:C:C:C:1
727,1-methyluracil,-0.375,1,126.115,1,1,0,54.86,-0.807,CN1:C:C:C(=O):[NH]:C:1=O
728,oxyphenbutazone,-3.739,1,324.38000000000005,1,3,5,60.85000000000001,-3.73,CCCCC1C(=O)N(C2:C:C:C:C:C:2)N(C2:C:C:C(O):C:C:2)C1=O
729,"2,2',3,5'-PCB",-6.155,1,291.99200000000013,0,2,1,0.0,-6.47,ClC1:C:C:C(Cl):C(C2:C:C:C:C(Cl):C:2Cl):C:1
730,Quinethazone,-2.184,1,289.74400000000014,3,2,2,101.29,-3.29,CCC1NC(=O)C2:C:C(S(N)(=O)=O):C(Cl):C:C:2N1
731,Diuron,-3.301,1,233.098,1,1,1,32.34,-3.8,CN(C)C(=O)NC1:C:C:C(Cl):C(Cl):C:1
732,Cyclopentene ,-1.72,2,68.11900000000001,0,1,0,0.0,-2.1,C1=CCCC1
733,alloxantin,0.919,1,286.156,6,2,1,191.0,-1.99,O=C1NC(=O)C(O)(C2(O)C(=O)NC(=O)NC2=O)C(=O)N1
734,Nonane,-3.678,1,128.259,0,0,6,0.0,-5.88,CCCCCCCCC
735,2-Chlorophenol,-2.553,1,128.558,1,1,0,20.23,-1.06,OC1:C:C:C:C:C:1Cl
736,5-Methylchrysene,-5.931,1,242.321,0,4,0,0.0,-6.59,CC1:C:C2:C:C:C:C:C:2:C2:C:C:C3:C:C:C:C:C:3:C:1:2
737,Phenetole,-2.66,1,122.16699999999996,0,1,2,9.23,-2.33,CCOC1:C:C:C:C:C:1
738,ethyl cinnamate,-3.0980000000000003,1,176.215,0,1,3,26.3,-3.0,CCOC(=O)C=CC1:C:C:C:C:C:1
739,Terbacil,-3.033,1,216.668,1,1,0,54.86,-2.484,CC1:[NH]:C(=O):N(C(C)(C)C):C(=O):C:1Cl
740,Clonazepam,-3.707,1,315.716,1,3,2,84.6,-3.499,O=C1CN=C(C2:C:C:C:C:C:2Cl)C2:C:C([N+](=O)[O-]):C:C:C:2N1
741,p-Toluenesulfonamide ,-1.815,1,171.22099999999998,1,1,1,60.16,-1.74,CC1:C:C:C(S(N)(=O)=O):C:C:1
742,Chlorbufam,-3.629,1,223.65900000000002,1,1,2,38.33,-2.617,C#CC(C)OC(=O)NC1:C:C:C:C(Cl):C:1
743,2-Methylheptane,-3.3080000000000003,1,114.232,0,0,4,0.0,-5.08,CCCCCC(C)C
744,Cyhalothrin,-6.905,1,449.85600000000017,0,3,6,59.32000000000001,-8.176,CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)C1:C:C:C:C(OC2:C:C:C:C:C:2):C:1
745,Apazone,-2.9,1,300.36200000000014,0,3,2,56.22000000000001,-3.5380000000000003,CCCC1C(=O)N2C(N(C)C)=NC3:C:C:C(C):C:C:3N2C1=O
746,Diazepam,-4.05,1,284.7460000000001,0,3,1,32.67,-3.754,CN1C(=O)CN=C(C2:C:C:C:C:C:2)C2:C:C(Cl):C:C:C:21
747,2-Methyl-3-pentanol,-1.308,1,102.177,1,0,2,20.23,-0.7,CCC(O)C(C)C
748,fensulfothion,-3.283,1,308.3610000000001,0,1,7,44.76000000000001,-2.3,CCOP(=S)(OCC)OC1:C:C:C(S(C)=O):C:C:1
749,borneol,-2.423,1,154.253,1,2,0,20.23,-2.32,CC1(C)C2CCC1(C)C(O)C2
750,Testosterone,-3.659,1,288.431,1,4,0,37.3,-4.02,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12
751,Heptane,-2.97,1,100.205,0,0,4,0.0,-4.53,CCCCCCC
752,1-Napthol,-3.08,1,144.17299999999997,1,2,0,20.23,-2.22,OC1:C:C:C:C2:C:C:C:C:C:1:2
753,"cis-1,2-Dimethylcyclohexane",-3.305,1,112.21600000000001,0,1,0,0.0,-4.3,CC1CCCCC1C
754,Trimazosin,-3.958,1,435.4810000000003,2,3,6,132.5,-3.638,COC1:C:C2:C(N):N:C(N3CCN(C(=O)OCC(C)(C)O)CC3):N:C:2:C(OC):C:1OC
755,Cholanthrene,-5.942,2,254.332,0,5,0,0.0,-7.85,C1:C:C2:C3:C(:C4:C:C:C5:C:C:C:C:C:5:C:4:C:C:3:C:1)CC2
756,Medrogestone,-4.593,1,340.5070000000001,0,4,1,34.14,-5.27,CC(=O)C1(C)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C
757,2-Heptanone,-1.554,1,114.188,0,0,4,17.07,-1.45,CCCCCC(C)=O
758,Acephate,-0.416,1,183.169,1,0,3,55.4,0.54,COP(=O)(NC(C)=O)SC
759,DEF,-4.074,1,314.5220000000001,0,0,12,17.07,-5.14,CCCCSP(=O)(SCCCC)SCCCC
760,phthalamide,-0.636,1,149.149,1,2,0,46.17,-2.932,O=C1NC(=O)C2C=CC=CC12
761,Trichlomethiazide,-2.98,1,380.662,3,2,2,118.36,-2.68,NS(=O)(=O)C1:C:C2:C(:C:C:1Cl)NC(C(Cl)Cl)NS2(=O)=O
762,2-Methy-2-Butene,-1.994,1,70.13499999999999,0,0,0,0.0,-2.56,CC=C(C)C
763,"1,2,4-Trimethylbenzene",-3.343,1,120.195,0,1,0,0.0,-3.31,CC1:C:C:C(C):C(C):C:1
764,"2,4,5-Trichlorophenol ",-3.78,1,197.44799999999998,1,1,0,20.23,-2.21,OC1:C:C(Cl):C(Cl):C:C:1Cl
765,phenanthridine,-3.713,2,179.22199999999995,0,3,0,12.89,-2.78,C1:C:C:C2:C(:C:1):C:N:C1:C:C:C:C:C:1:2
766,3-Methyl-3-hexanol,-1.663,1,116.20399999999998,1,0,3,20.23,-0.98,CCCC(C)(O)CC
767,Octane,-3.324,1,114.23200000000001,0,0,5,0.0,-5.24,CCCCCCCC
768,Anthracene,-4.518,2,178.23399999999995,0,3,0,0.0,-6.35,C1:C:C:C2:C:C3:C:C:C:C:C:3:C:C:2:C:1
769,Phenylhydrazine,-1.866,1,108.14399999999998,2,1,1,38.05,0.07,NNC1:C:C:C:C:C:1
770,Propionaldehyde,-0.394,1,58.08,0,0,1,17.07,0.58,CCC=O
771,Cyclooctane,-3.355,2,112.216,0,1,0,0.0,-4.15,C1CCCCCCC1
772,"5,5-Diallylbarbital",-1.471,1,208.217,2,1,4,75.27000000000002,-2.077,C=CCC1(CC=C)C(=O)NC(=O)NC1=O
773,Trichloromethane,-1.812,1,119.378,0,0,0,0.0,-1.17,ClC(Cl)Cl
774,thiouracil,-0.992,1,128.15599999999998,2,1,0,45.75,-2.273,O=C1:C:C:N:C(S):[NH]:1
775,Pencycuron,-5.126,1,328.843,1,3,4,32.34,-5.915,O=C(NC1:C:C:C:C:C:1)N(CC1:C:C:C(Cl):C:C:1)C1CCCC1
776,1-Methylcyclohexene ,-2.574,1,96.17300000000002,0,1,0,0.0,-3.27,CC1=CCCCC1
777,2-Ethylhexanal,-2.232,1,128.21499999999997,0,0,5,17.07,-2.13,CCCCC(C=O)CC
778,Khellin,-3.603,1,260.24499999999995,0,3,2,61.81,-3.0210000000000004,COC1:C2:O:C:C:C:2:C(OC):C2:C(=O):C:C(C):O:C:1:2
779,5-Ethyl-5-(3-methylbutyl)barbital,-2.312,1,226.27599999999995,2,1,4,75.27000000000002,-2.658,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
780,Benzo(j)fluoranthene,-6.0070000000000014,2,252.316,0,5,0,0.0,-8.0,C1:C:C:C2:C3:C(:C:C:C:2:C:1)C1:C:C:C:C2:C:C:C:C3:C:1:2
781,2-Ethylbutanal,-1.523,1,100.161,0,0,3,17.07,-1.52,CCC(C=O)CC
782,Dipropyl ether,-1.426,1,102.177,0,0,4,9.23,-1.62,CCCOCCC
783,1-Tetradecanol,-4.231,1,214.39299999999997,1,0,12,20.23,-5.84,CCCCCCCCCCCCCCO
784,"2,3,6-Trichlorophenol",-3.572,1,197.448,1,1,0,20.23,-2.64,OC1:C(Cl):C:C:C(Cl):C:1Cl
785,Urea,0.8320000000000001,1,60.056000000000004,2,0,0,69.11,0.96,NC(N)=O
786,1-Pentyne,-1.446,1,68.11899999999999,0,0,1,0.0,-1.64,C#CCCC
787,"1,3-Dibromobenzene",-4.298,1,235.906,0,1,0,0.0,-3.54,BrC1:C:C:C:C(Br):C:1
788,1-Octadecanol,-5.649,1,270.50099999999986,1,0,16,20.23,-8.4,CCCCCCCCCCCCCCCCCCO
789,Acetanilide,-1.857,1,135.16599999999997,1,1,1,29.1,-1.33,CC(=O)NC1:C:C:C:C:C:1
790,hematein,-1.795,1,300.26599999999996,4,4,0,107.22,-2.7,O=C1C=C2CC3(O)COC4:C(:C:C:C(O):C:4O)C3=C2C=C1O
791,Isonazid,-0.7170000000000001,1,137.14200000000002,2,1,1,68.01,0.009000000000000001,NNC(=O)C1:C:C:N:C:C:1
792,hydroxychlordene,-4.1560000000000015,1,354.87499999999983,1,3,0,20.23,-5.46,OC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl
793,Isopentyl formate,-1.449,1,116.15999999999998,0,0,4,26.3,-1.52,CC(C)CCOC=O
794,Acetophenone,-2.0780000000000003,1,120.15099999999997,0,1,1,17.07,-1.28,CC(=O)C1:C:C:C:C:C:1
795,biquinoline,-4.9030000000000005,2,256.308,0,4,1,25.78,-5.4,C1:C:C:C2:N:C(C3:C:C:C4:C:C:C:C:C:4:N:3):C:C:C:2:C:1
796,Triethyl phosphate,-0.953,1,182.156,0,0,6,44.76000000000001,0.43,CCOP(=O)(OCC)OCC
797,D-fenchone,-2.158,1,152.237,0,2,0,17.07,-1.85,CC12CCC(C1)C(C)(C)C2=O
798,7-methoxypteridine,-1.589,1,162.15200000000002,0,2,1,60.790000000000006,-0.91,COC1:C:N:C2:C:N:C:N:C:2:N:1
799,Chlordene,-5.152,1,338.876,0,3,0,0.0,-5.64,ClC1=C(Cl)C2(Cl)C3CC=CC3C1(Cl)C2(Cl)Cl
800,2-Nitropropane,-0.743,1,89.094,0,0,1,43.14,-0.62,CC(C)[N+](=O)[O-]
801,Carbazole,-3.836,2,167.21099999999996,1,3,0,15.79,-5.27,C1:C:C:C2:C(:C:1):[NH]:C1:C:C:C:C:C:1:2
